trackID, danceability, energy, loudness, speechiness, acousticness, instrumentalness, liveness, valence
5AdhyCxxguV1wXde1vqgWC, 0.664, 0.574, 0.9917375403917806, 0.102, 0.319, 0, 0.171, 0.484
7z3N2W7Xz1t2G2sAO8wFVH, 0.796, 0.477, 0.9940888473051643, 0.108, 0.314, 0, 0.12, 0.685
5N5fp1lYSORdZbWanACki9, 0.874, 0.581, 0.9935537742575674, 0.168, 0.0697, 0.0239, 0.416, 0.663
5VkS25dOM8bTAKMgS2t8nT, 0.4, 0.608, 0.9940703492612654, 0.0439, 0.186, 0.255, 0.13, 0.0804
4N2LdRzYxtWKTkHH3G9d1L, 0.622, 0.303, 0.9917656300139975, 0.0286, 0.961, 0.00534, 0.104, 0.247
0y9uTzK9cNKSAEHnpeRG8C, 0.552, 0.731, 0.9942861597734205, 0.615, 0.0536, 0, 0.258, 0.632
5VqCEVBScatH05aM7KbABm, 0.837, 0.36, 0.9929221003140535, 0.0516, 0.773, 0.174, 0.132, 0.457
2Zyk0on2N9vZyHueREwoJC, 0.769, 0.505, 0.9942799937587874, 0.252, 0.0359, 0.000106, 0.107, 0.297
4Le5Mx8TD7iA0UOG2Shy57, 0.739, 0.685, 0.9956262402869924, 0.157, 0.00661, 0.0184, 0.117, 0.374
2p8IUWQDrpjuFltbdgLOag, 0.664, 0.572, 0.9948164370318583, 0.0305, 0.0811, 0.00604, 0.121, 0.143
6xagjcywpcyNFghafZPQJv, 0.638, 0.708, 0.9953350673737674, 0.0754, 0.0973, 0, 0.177, 0.606
6YZQx90VEuzf0lRY9TYh7j, 0.673, 0.596, 0.9945492430644284, 0.0438, 0.316, 1.88e-05, 0.107, 0.22
32KU85vllRfxfaV7ZNvHwT, 0.729, 0.485, 0.9942505339110964, 0.0363, 0.573, 0, 0.32, 0.45
1vTfSWBXwH0Aih8vpTu0xi, 0.257, 0.291, 0.9916231265647016, 0.0326, 0.666, 1.87e-06, 0.118, 0.295
6hswadYDq08p4qG3NfsNfJ, 0.493, 0.247, 0.9893252584448037, 0.0346, 0.919, 0.0437, 0.157, 0.0519
1Bg2CNZw6S4e9cGWPmi0uI, 0.891, 0.628, 0.9946444737348714, 0.105, 0.000674, 0, 0.119, 0.04
2ETKPBTsSofRyxij1s8GA2, 0.522, 0.705, 0.9935948810217874, 0.205, 0.332, 1.92e-05, 0.0934, 0.521
3OrKZphgvTsb3JV1FnXtqQ, 0.51, 0.599, 0.9894102124241917, 0.0675, 0.0556, 0.866, 0.334, 0.878
606F3qdYCXtDVtKN53YsuW, 0.411, 0.377, 0.9924500576382606, 0.0296, 0.347, 0.765, 0.222, 0.0321
4tAroWdVxOsx5teIaZqEHm, 0.33, 0.16, 0.9910154315669826, 0.0332, 0.987, 0.93, 0.21, 0.122
62Ce6rFeoIRaBBIHbyHdOs, 0.679, 0.505, 0.9923979890702485, 0.0773, 0.875, 0.0868, 0.11, 0.0819
1420BGhbXGkIJtbtBlfpYE, 0.528, 0.888, 0.9948575437960784, 0.0326, 0.0116, 0.756, 0.154, 0.897
6SFFmZFiDoTjQG3kdECxZa, 0.602, 0.259, 0.9919321124090886, 0.0426, 0.715, 3.98e-06, 0.103, 0.123
