genreID, genreName
398, cali rap
399, women's music
400, deep adult standards
401, doo-wop
402, rhythm and blues
403, arab folk
404, syrian pop
405, 21st century classical
406, choral
407, nordic contemporary classical
408, argentine alternative rock
409, argentine rock
410, chilean indie
411, latin rock
412, manso indie
413, rock nacional
414, math rock
415, sheffield indie
416, filter house
417, disco house
418, nu disco
419, brazilian boogie
420, classic country pop
421, country
422, nashville sound
423, soda pop
424, etherpop
425, japanese alternative rock
426, classic soundtrack
427, vintage italian soundtrack
428, south carolina indie
429, torch song
430, nubian traditional
431, sudanese pop
432, candy pop
433, uk pop
434, classic city pop
435, j-rock
436, japanese indie pop
437, japanese r&b
438, japanese shoegaze
439, brazilian classical
440, latin classical
441, classic girl group
442, grunge
443, italian library music
444, library music
445, sad rap
446, industrial hip hop
447, battle rap
448, acoustic rock
449, indie surf
450, surf punk
451, vegas indie
452, europop
453, scandipop
454, swedish electropop
455, swedish pop
456, dream smp
457, indie anthem-folk
458, k-indie
459, korean indie folk
460, australian shoegaze
461, blues rock
462, garage pop
463, oc indie
464, new orleans rap
465, old school hip hop
466, arabic jazz
467, canadian modern jazz
468, harlem hip hop
469, vancouver indie
470, alternative metal
471, progressive metal
472, jazz vibraphone
473, japanese electropop
474, vaudeville
475, canadian indie
476, canadian rock
477, canadian indie folk
478, lo-fi cover
479, psicodelia brasileira
480, modern funk
481, progressive jazz fusion
482, italian disco
483, electric bass
484, new jersey rap
485, bolero
486, mexican rock-and-roll
487, ranchera
488, social media pop
489, drone folk
490, mod revival
491, northern irish punk
492, pub rock
493, punk
494, ska
495, background jazz
496, modern jazz piano
497, stride
498, slowcore
499, newcastle nsw indie
500, easy listening
501, hyphy
502, west coast trap
503, glitch
504, glitch hop
505, intelligent dance music
506, jazztronica
507, classic japanese jazz
508, exotica
509, laboratorio
510, collage pop
511, future funk
512, uk dance
513, uk contemporary jazz
514, political hip hop
515, slam poetry
516, athens indie
517, italian soundtrack
518, soundtrack
519, traditional funk
520, indian indie
521, kolkata indie
522, jazz flute
523, australian indie folk
524, afropop
525, ethio-jazz
526, gen z singer-songwriter
527, spiritual jazz
528, austindie
529, modern psychedelic folk
530, future garage
531, spirituals
532, traditional soul
533, atlanta indie
534, instrumental soul
535, barbadian pop
536, deconstructed club
537, fluxwork
538, hauntology
539, microhouse
540, 5th wave emo
541, modern power pop
542, asheville indie
543, indie psych-pop
544, shimmer psych
545, boom bap espanol
546, trap latino
547, rockabilly
548, j-acoustic
549, classic moroccan pop
550, gnawa
551, rai
552, victoria bc indie
553, electra
554, float house
555, early romantic era
556, polish classical
557, canto popular uruguayo
558, uk garage
559, alt-idol
560, city pop
561, nyc rap
562, latinx alternative
563, belgian new wave
564, modern alternative pop
565, ambient pop
566, indian electronic
567, new delhi indie
568, san diego indie
569, japanese alternative pop
570, tin pan alley
571, vintage jazz
572, a cappella
573, egyptian pop
574, edm
575, electro house
576, house
577, progressive house
578, acid rock
579, hard rock
580, atl trap
581, jazz double bass
582, chamber psych
583, gospel
584, gospel r&b
585, classical soprano
586, opera
587, operatic pop
588, london indie
589, chanson
590, french rock
591, ye ye
592, buffalo hip hop
593, upstate ny rap
594, irish singer-songwriter
595, irish rock
596, japanese boom bap
597, israeli indie
598, indonesian r&b
599, russian pop
600, experimental rock
601, krautrock
602, space rock
603, grungegaze
604, nz pop
605, classic j-rock
606, japanese dream pop
607, german indie
608, alternative americana
609, anime score
610, j-pop
611, japanese folk
612, japanese singer-songwriter
613, korean city pop
614, tennessee hip hop
615, classic dubstep
616, uk bass
617, chamber folk
618, london rap
619, british folk
620, new weird america
621, psychedelic folk
622, glitchbreak
623, modern blues
624, phonk
625, cantautor
626, pop romantico
627, trova
628, british singer-songwriter
629, jazz brass
630, sydney indie
631, bulgarian electronic
632, deep house
633, minimal tech house
634, tech house
635, alternative country
636, solo wave
637, boogaloo
638, cosmic american
639, canadian post-rock
640, instrumental post-rock
641, folklore argentino
642, folklore surero
643, guitarra argentina
644, musica andina
645, nueva cancion
646, zamba
647, japanese classical
648, japanese contemporary classical
649, japanese soundtrack
650, outsider
651, zolo
652, movie tunes
653, chicano rap
654, latin hip hop
655, texas latin rap
656, art punk
657, jazz catala
658, reggae fusion
659, leeds indie
660, bow pop
661, french soundtrack
662, charlottesville indie
663, uk post-punk revival
664, british jazz
665, ecm-style jazz
666, norwegian contemporary jazz
667, swedish jazz
668, anime lo-fi
669, afro psych
670, jazz trio
671, blues
672, british blues
673, lo-fi house
674, pixie
675, pop emo
676, new orleans jazz
677, indie emo
678, australian indie rock
679, canadian electropop
680, grave wave
681, theme
682, scottish singer-songwriter
683, early reggae
684, gbvfi
685, black americana
686, modern blues rock
687, underground rap
688, piano blues
689, brazilian experimental
690, nova musica carioca
691, danish electropop
692, sasscore
693, scream rap
694, skramz
695, popping
696, asian american hip hop
697, classic hungarian pop
698, classic hungarian rock
699, ethereal wave
700, scottish indie
701, ukg revival
702, italian classical piano
703, early avant garde
704, early modern classical
705, impressionism
706, post-romantic era
707, american primitive
708, fingerstyle
709, traditional blues
710, grime
711, j-rap
712, tape club
713, reggae
714, roots reggae
715, jawaiian
716, nz hip hop
717, nz reggae
718, pacific islands pop
719, melbourne indie
720, dance rock
721, bassline
722, afghan pop
723, canadian singer-songwriter
724, modern indie pop
725, slap house
726, french pop
727, nouvelle chanson francaise
728, downtempo
729, uk americana
730, portsmouth indie
731, dance-punk
732, electronic rock
733, birmingham metal
734, metal
735, stoner rock
736, uk doom metal
737, deep free jazz
738, italian experimental
739, french synthpop
740, experimental classical
741, icelandic classical
742, icelandic experimental
743, nordic soundtrack
744, heartland rock
745, traditional folk
746, kansas indie
747, disney
748, belarusian indie
749, russian post-punk
750, sovietwave
751, taiwan classical performance
752, oklahoma country
753, baltimore indie
754, arab alternative
755, lebanese indie
756, modern dream pop
757, australian pop
758, libyan pop
759, desi pop
760, filmi
761, modern bollywood
762, popgaze
763, san diego rap
764, modern folk rock
765, albuquerque indie
766, indie electropop
767, uk hip hop
768, denver indie
769, electronic trap
770, children's music
771, brazilian soul
772, dixieland
773, classic bollywood
774, gqom
775, french jazz
776, indie shoegaze
777, nz folk
778, nz singer-songwriter
779, folk-pop
780, healing
781, new age
782, synthesizer
783, swedish electronic
784, swedish house
785, swedish synthpop
786, louisiana blues
787, new orleans blues
788, swamp pop
789, british modern classical
790, egyptian hip hop
791, acoustic pop
792, complextro
793, pop dance
794, progressive electro house
795, japanese guitar
796, japanese math rock
797, japanese post-rock
798, pop edm
799, boston indie
800, boston rock
801, new england emo
802, experimental indie rock
803, noise rock
804, dub
805, orlando indie
806, k-rock
